iter	MultiClass
0	4.027568555
1	3.911884693
2	3.76338825
3	3.652484569
4	3.530719131
5	3.440013755
6	3.353104293
7	3.277232793
8	3.185137273
9	3.125641175
10	3.058741975
11	3.01037895
12	2.959058108
13	2.901187876
14	2.849837861
15	2.809448407
16	2.760310616
17	2.705318747
18	2.667414112
19	2.637876928
20	2.604425906
21	2.57154895
22	2.542130358
23	2.518570612
24	2.492553808
25	2.466204861
26	2.445058743
27	2.421803028
28	2.400102586
29	2.378366913
30	2.355829553
31	2.3316418
32	2.313446277
33	2.294855379
34	2.277678728
35	2.261395991
36	2.240770318
37	2.22320785
38	2.202534198
39	2.180288159
40	2.163662344
41	2.148178134
42	2.133397983
43	2.118694991
44	2.105073876
45	2.089443264
46	2.076866215
47	2.063237876
48	2.047712047
49	2.035179754
50	2.021883411
51	2.011526348
52	2.002451477
53	1.991476609
54	1.981753403
55	1.971694827
56	1.960586799
57	1.951410956
58	1.941273018
59	1.93288811
60	1.923578329
61	1.912178985
62	1.901986554
63	1.889263962
64	1.877545564
65	1.865833655
66	1.856846768
67	1.846791193
68	1.83527035
69	1.822607014
70	1.811390193
71	1.803828967
72	1.794853659
73	1.783599432
74	1.774526704
75	1.765184264
76	1.754880874
77	1.746811971
78	1.738744183
79	1.729824828
80	1.721051627
81	1.714050252
82	1.706287735
83	1.698991832
84	1.692335085
85	1.684423734
86	1.675997054
87	1.666476694
88	1.65809242
89	1.648433616
90	1.641628029
91	1.635704582
92	1.626159482
93	1.618479093
94	1.611451873
95	1.605056052
96	1.599002446
97	1.592288662
98	1.58454025
99	1.577488068
100	1.571347408
101	1.564573765
102	1.558560398
103	1.552012826
104	1.546748838
105	1.540776182
106	1.534566987
107	1.529333788
108	1.52328104
109	1.51708517
110	1.510113318
111	1.504927423
112	1.498799011
113	1.49432146
114	1.487697221
115	1.482891878
116	1.478117253
117	1.472411041
118	1.466659346
119	1.461667472
120	1.456618706
121	1.452460998
122	1.448240448
123	1.443754204
124	1.438379937
125	1.435415362
126	1.431462564
127	1.427444483
128	1.42213858
129	1.416682538
130	1.410644159
131	1.406707579
132	1.402321192
133	1.398247259
134	1.393764982
135	1.390810469
136	1.385740096
137	1.382825073
138	1.380985693
139	1.377022065
140	1.372003498
141	1.366764173
142	1.362034024
143	1.357032462
144	1.351796736
145	1.349485013
146	1.347268674
147	1.345566815
148	1.342074414
149	1.337712418
150	1.333191153
151	1.331092079
152	1.326473313
153	1.322323307
154	1.319047871
155	1.314934185
156	1.310924141
157	1.308477083
158	1.30555002
159	1.302914014
160	1.30102244
161	1.29680219
162	1.292964061
163	1.28878658
164	1.286296821
165	1.28200856
166	1.278999865
167	1.27510315
168	1.270095403
169	1.267588206
170	1.263551894
171	1.261926705
172	1.258644987
173	1.254328821
174	1.252839813
175	1.250035802
176	1.245759609
177	1.243905438
178	1.240409178
179	1.237360691
180	1.232312384
181	1.229290237
182	1.225261532
183	1.220804297
184	1.217278186
185	1.213142485
186	1.210507088
187	1.206745628
188	1.203157367
189	1.198708438
190	1.195280409
191	1.193116257
192	1.190856944
193	1.189351658
194	1.185871411
195	1.182150852
196	1.179244016
197	1.175003066
198	1.171425908
199	1.167162413
200	1.163935858
201	1.160770882
202	1.158288588
203	1.156709097
204	1.153383148
205	1.150707562
206	1.148595684
207	1.145260959
208	1.141734179
209	1.138651259
210	1.135082246
211	1.13367073
212	1.129737238
213	1.127283836
214	1.124785701
215	1.121312523
216	1.11996822
217	1.115446521
218	1.111578497
219	1.107351471
220	1.103598089
221	1.101160711
222	1.097818721
223	1.095916818
224	1.093578589
225	1.090289866
226	1.088259672
227	1.084913962
228	1.082904463
229	1.080541972
230	1.078377076
231	1.076945099
232	1.074287659
233	1.072644585
234	1.070647415
235	1.067562568
236	1.064630149
237	1.061540143
238	1.059764425
239	1.057418423
240	1.054340933
241	1.051958419
242	1.049101697
243	1.047166334
244	1.044614736
245	1.041736512
246	1.040279474
247	1.037688918
248	1.034277251
249	1.031029567
250	1.028718469
251	1.026050024
252	1.023704027
253	1.021961736
254	1.020264849
255	1.019087306
256	1.015834289
257	1.012716704
258	1.010140981
259	1.008249207
260	1.00553759
261	1.003340998
262	1.001202822
263	0.9992475529
264	0.9973030336
265	0.9958297219
266	0.9939303299
267	0.9927375286
268	0.9892836092
269	0.9872288004
270	0.9851153727
271	0.9822170252
272	0.9794633701
273	0.9779522111
274	0.9762418606
275	0.9731770472
276	0.9708840524
277	0.968211696
278	0.9657888237
279	0.9638474697
280	0.9605152995
281	0.9578814407
282	0.9559659726
283	0.953570981
284	0.9509088597
285	0.9485927453
286	0.9462883964
287	0.9429695548
288	0.9408149078
289	0.9398974127
290	0.9384038852
291	0.9353770712
292	0.9326255688
293	0.9304565155
294	0.9282575153
295	0.9262783092
296	0.9237736013
297	0.9216312263
298	0.9192888737
299	0.9174277437
300	0.9153244164
301	0.9132914381
302	0.9111818755
303	0.9092884367
304	0.9071076671
305	0.9048575824
306	0.9030050133
307	0.900745773
308	0.8985281156
309	0.8974349547
310	0.895817147
311	0.8936489708
312	0.8916283093
313	0.8896460397
314	0.8886048082
315	0.8862098903
316	0.8840314555
317	0.8820699997
318	0.8801408519
319	0.8782973776
320	0.8758643297
321	0.8741773813
322	0.8721152953
323	0.8707036168
324	0.868717015
325	0.8666839981
326	0.8642788447
327	0.8618198597
328	0.8602308225
329	0.8583108899
330	0.8560035996
331	0.8539801865
332	0.8520953869
333	0.8503730766
334	0.8478197121
335	0.8457749704
336	0.8440655769
337	0.8429324358
338	0.8411182592
339	0.8399291145
340	0.8385348804
341	0.8364761864
342	0.8357125752
343	0.8346896375
344	0.8337137616
345	0.831650111
346	0.8299432587
347	0.8286832496
348	0.8271543858
349	0.8251012484
350	0.8232781843
351	0.8213386214
352	0.8200996365
353	0.8178011789
354	0.8167346413
355	0.815256128
356	0.8143483638
357	0.8118378059
358	0.8106224651
359	0.8089102421
360	0.807409476
361	0.805622528
362	0.8033286833
363	0.8022580036
364	0.8004624482
365	0.7983802893
366	0.7967542016
367	0.7953318888
368	0.7935039111
369	0.7920201705
370	0.7904493912
371	0.7887245194
372	0.7866313981
373	0.7854843013
374	0.7835225612
375	0.7819607776
376	0.7802737995
377	0.7781788282
378	0.7761989213
379	0.7741135294
380	0.7724325631
381	0.7704274078
382	0.7690440348
383	0.7676232062
384	0.7658388999
385	0.7641767401
386	0.7628363622
387	0.7618230586
388	0.7601130636
389	0.7582982595
390	0.7567948757
391	0.7552821125
392	0.7538005444
393	0.7524207183
394	0.7507578627
395	0.7492910627
396	0.7472379798
397	0.7461756299
398	0.7445688078
399	0.7428345143
400	0.740984682
401	0.7395591105
402	0.7379836258
403	0.7365038454
404	0.7353332905
405	0.7342456061
406	0.733001446
407	0.7319334825
408	0.7309203496
409	0.7295867125
410	0.7279064117
411	0.726407864
412	0.7249369059
413	0.7237186142
414	0.7220209011
415	0.7207048134
416	0.719884633
417	0.7185855736
418	0.7170513378
419	0.7155788102
420	0.7144332181
421	0.7134655785
422	0.712419143
423	0.7108307168
424	0.7091642243
425	0.7078288547
426	0.7062450354
427	0.7051657104
428	0.7037749285
429	0.7027230075
430	0.7016946454
431	0.7007653462
432	0.699365643
433	0.6980833608
434	0.6961987001
435	0.694693723
436	0.6936198429
437	0.6924923559
438	0.6917364882
439	0.6905579471
440	0.6892132808
441	0.6879874846
442	0.6868480402
443	0.6860133092
444	0.6841660514
445	0.683156822
446	0.6818294184
447	0.6802748519
448	0.6788035854
449	0.6774087014
450	0.6757715537
451	0.6742741958
452	0.6731383586
453	0.671745061
454	0.6710649327
455	0.6695452897
456	0.6677409721
457	0.6664358294
458	0.6651265531
459	0.664237615
460	0.6627628543
461	0.6612171202
462	0.6598451049
463	0.6591029062
464	0.6583540243
465	0.6571831068
466	0.6560265436
